Accession	Main product	Biosynthetic class	Organism
BGC0000912	melanin	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000941	desferrioxamin B	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0001043	SGR PTMs	NRP	Streptomyces griseus subsp. griseus NBRC 13350
BGC0001043	SGR PTMs	Polyketide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000257	prodigiosin	Polyketide	Streptomyces griseoviridis
BGC0000459	griseoviridin, fijimycin A	Cyclic depsipeptide	Streptomyces griseoviridis
BGC0000459	griseoviridin, fijimycin A	Trans-AT type I polyketide	Streptomyces griseoviridis
BGC0000415	quinomycin	NRP	Streptomyces griseovariabilis subsp. bandungensis
BGC0000233	hedamycin	Polyketide	Streptomyces griseoruber
BGC0001675	murayaquinone	Polyketide	Streptomyces griseoruber
BGC0000820	physostigmine	Alkaloid	Streptomyces griseofuscus
BGC0000226	gilvocarcin V	Polyketide	Streptomyces griseoflavus
BGC0000374	hormaomycin, hormaomycin A1, hormaomycin A2, hormaomycin A3, hormaomycin A4, hormaomycin A5, hormaomycin A6	Cyclic depsipeptide	Streptomyces griseoflavus
BGC0000158	tautomycetin	Modular type I polyketide	Streptomyces griseochromogenes
BGC0000874	blasticidin S	Other	Streptomyces griseochromogenes
BGC0002090	undecylprodigiosin, metacycloprodigiosin	Modular type I polyketide	Streptomyces griseoaurantiacus
BGC0002090	undecylprodigiosin, metacycloprodigiosin		Streptomyces griseoaurantiacus
BGC0002090	undecylprodigiosin, metacycloprodigiosin		Streptomyces griseoaurantiacus
BGC0000058	FD-891	Polyketide	Streptomyces graminofaciens
BGC0000965	C-1027	Iterative type I polyketide	Streptomyces globisporus
BGC0000965	C-1027	Enediyne type I polyketide	Streptomyces globisporus
BGC0001397	lidamycin	NRP	Streptomyces globisporus C-1027
BGC0001397	lidamycin	Polyketide	Streptomyces globisporus C-1027
BGC0001753	radamycin, globimycin	RiPP	Streptomyces globisporus subsp. globisporus
BGC0000275	tetracenomycin C	Type II polyketide	Streptomyces glaucescens
BGC0000690	hydroxystreptomycin	Saccharide	Streptomyces glaucescens
BGC0001551	citrulassin E	RiPP	Streptomyces glaucescens
BGC0001690	natamycin	Polyketide	Streptomyces gilvosporeus
BGC0000191	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000192	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000193	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000065	rustmicin	Iterative type I polyketide	Streptomyces galbus
BGC0000341	enduracidin	NRP	Streptomyces fungicidicus
BGC0000166	tylactone	Polyketide	Streptomyces fradiae
BGC0000277	urdamycin	Polyketide	Streptomyces fradiae
BGC0000278	urdamycin	Polyketide	Streptomyces fradiae
BGC0000291	A54145	NRP	Streptomyces fradiae
BGC0000711	neomycin	Saccharide	Streptomyces fradiae
BGC0000938	fosfomycin	Aminocoumarin	Streptomyces fradiae
BGC0000709	neomycin	Saccharide	Streptomyces fradiae ATCC 10745 = DSM 40063
BGC0001783	streptonigrin	Other	Streptomyces flocculus
BGC0001058	zorbamycin	Glycopeptide	Streptomyces flavoviridis
BGC0001058	zorbamycin	Modular type I polyketide	Streptomyces flavoviridis
BGC0001058	zorbamycin	Hybrid/tailoring saccharide	Streptomyces flavoviridis
BGC0000279	xantholipin	Polyketide	Streptomyces flavogriseus
BGC0001042	sanglifehrin A	NRP	Streptomyces flaveolus
BGC0001042	sanglifehrin A	Polyketide	Streptomyces flaveolus
BGC0001774	spicamycin	Other	Streptomyces fimbriatus
BGC0001522	auroramycin	Polyketide	Streptomyces filamentosus
BGC0001534	branched-chain fatty acids	Other	Streptomyces filamentosus
BGC0001535	branched-chain fatty acids	Other	Streptomyces filamentosus
BGC0000306	arylomycin	Lipopeptide	Streptomyces filamentosus NRRL 11379
BGC0000336	daptomycin	NRP	Streptomyces filamentosus NRRL 11379
BGC0000431	stenothricin	Cyclic depsipeptide	Streptomyces filamentosus NRRL 15998
BGC0000553	SRO15-2212	Lanthipeptide	Streptomyces filamentosus NRRL 15998
BGC0000554	SRO15-3108	Lanthipeptide	Streptomyces filamentosus NRRL 15998
BGC0000578	SRO15-2005	Lassopeptide	Streptomyces filamentosus NRRL 15998
BGC0001593	ficellomycin	NRP	Streptomyces ficellus
BGC0000018	angolamycin	Polyketide	Streptomyces eurythermus
BGC0000019	angolamycin	Polyketide	Streptomyces eurythermus
BGC0001851	komodoquinone B	Type II polyketide	Streptomyces erythrochromogenes
BGC0001851	komodoquinone B	Hybrid/tailoring saccharide	Streptomyces erythrochromogenes
BGC0000197	aranciamycin	Type II polyketide	Streptomyces echinatus
BGC0000197	aranciamycin	Hybrid/tailoring saccharide	Streptomyces echinatus
BGC0001214	marformycin A, marformycin B, marformycin C, marformycin D, marformycin E, marformycin F	NRP	Streptomyces drozdowiczii
BGC0001061	polyketomycin	Iterative type I polyketide	Streptomyces diastatochromogenes
BGC0001061	polyketomycin	Type II polyketide	Streptomyces diastatochromogenes
BGC0001061	polyketomycin	Hybrid/tailoring saccharide	Streptomyces diastatochromogenes
BGC0001598	foxicins A-D	NRP	Streptomyces diastatochromogenes
BGC0001598	foxicins A-D	Polyketide	Streptomyces diastatochromogenes
BGC0001808	toyocamycin	Other	Streptomyces diastatochromogenes
BGC0000598	polytheonamide A, polytheonamide B	Proteusin	Streptomyces diastatochromogenes Tü6028
BGC0000138	rimocidin	Polyketide	Streptomyces diastaticus
BGC0001910	cyslabdan	Terpene	Streptomyces cyslabdanicus
BGC0000239	landomycin A	Type II polyketide	Streptomyces cyanogenus
BGC0000239	landomycin A	Hybrid/tailoring saccharide	Streptomyces cyanogenus
BGC0000215	curamycin	Polyketide	Streptomyces cyaneus
BGC0000109	LL-F28249α	Polyketide	Streptomyces cyaneogriseus subsp. noncyanogenus
BGC0001487	3,7-dihydroxytropolone	Other	Streptomyces cyaneofuscatus
BGC0001935	3,7-dihydroxytropolone	Other	Streptomyces cyaneofuscatus
BGC0001561	curacomycin	NRP	Streptomyces curacoi
BGC0001562	curacomycin	NRP	Streptomyces curacoi
BGC0002013	curacozole	RiPP	Streptomyces curacoi
BGC0001295	cremeomycin	Other	Streptomyces cremeus
BGC0001215	conglobatin	NRP	Streptomyces conglobatus
BGC0001695	neoantimycin	NRP	Streptomyces conglobatus
BGC0000266	collinomycin	Polyketide	Streptomyces collinus
BGC0000272	spore pigment	Polyketide	Streptomyces collinus
BGC0001070	kirromycin	NRP	Streptomyces collinus Tu 365
BGC0001070	kirromycin	Modular type I polyketide	Streptomyces collinus Tu 365
BGC0001070	kirromycin	Trans-AT type I polyketide	Streptomyces collinus Tu 365
BGC0001227	isorenieratene	Terpene	Streptomyces collinus Tu 365
BGC0000951	pacidamycin 1, pacidamycin 2, pacidamycin 3, pacidamycin 4, pacidamycin 5, pacidamycin 6, pacidamycin 7, pacidamycin D	NRP	Streptomyces coeruleorubidus
BGC0000038	coelimycin P1	Modular type I polyketide	Streptomyces coelicolor A3(2)
BGC0000194	actinorhodin	Type II polyketide	Streptomyces coelicolor A3(2)
BGC0000315	CDA1b, CDA2a, CDA2b, CDA3a, CDA3b, CDA4a, CDA4b	Ca+-dependent lipopeptide	Streptomyces coelicolor A3(2)
BGC0000324	coelibactin	NRP	Streptomyces coelicolor A3(2)
BGC0000325	coelichelin	NRP	Streptomyces coelicolor A3(2)
BGC0000551	SapB	Lanthipeptide	Streptomyces coelicolor A3(2)
BGC0000595	SCO-2138	RiPP	Streptomyces coelicolor A3(2)
BGC0000660	albaflavenone	Terpene	Streptomyces coelicolor A3(2)
BGC0000663	hopene	Terpene	Streptomyces coelicolor A3(2)
BGC0000849	SCB1, SCB2, SCB3	Butyrolactone	Streptomyces coelicolor A3(2)
BGC0000910	melanin	Other	Streptomyces coelicolor A3(2)
BGC0000914	methylenomycin A	Other	Streptomyces coelicolor A3(2)
BGC0000940	desferrioxamin B, desferrioxamine E	Other	Streptomyces coelicolor A3(2)
BGC0001063	undecylprodigiosin	NRP	Streptomyces coelicolor A3(2)
BGC0001063	undecylprodigiosin	Polyketide	Streptomyces coelicolor A3(2)
BGC0001181	geosmin	Terpene	Streptomyces coelicolor A3(2)
BGC0000804	acarviostatin I03, acarviostatin II03, acarviostatin III03, acarviostatin IV03	Saccharide	Streptomyces coelicoflavus ZG0656
BGC0000844	clavulanic acid	Other	Streptomyces clavuligerus
BGC0000319	cephamycin C	Beta-lactam	Streptomyces clavuligerus ATCC 27064
BGC0000373	holomycin	NRP	Streptomyces clavuligerus ATCC 27064
BGC0000674	(-)-δ-cadinene	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0000675	(+)-T-muurolol	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0000826	staurosporine	Alkaloid	Streptomyces clavuligerus ATCC 27064
BGC0000841	alanylclavam, 2-hydroxymethylclavam, 2-formyloxymethylclavam, clavam-2-carboxylate, clavulanic acid	Non-NRP beta-lactam	Streptomyces clavuligerus ATCC 27064
BGC0000843	alanylclavam, 2-hydroxymethylclavam, 2-formyloxymethylclavam, clavam-2-carboxylate	Non-NRP beta-lactam	Streptomyces clavuligerus ATCC 27064
BGC0000845	clavulanic acid	Non-NRP beta-lactam	Streptomyces clavuligerus ATCC 27064
BGC0001310	naringenin	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0001514	aristeromycin	Other	Streptomyces citricolor
BGC0001148	pheganomycin	NRP	Streptomyces cirratus
BGC0001148	pheganomycin	RiPP	Streptomyces cirratus
BGC0000503	cinnamycin	Lanthipeptide	Streptomyces cinnamoneus
BGC0001468	bicyclomycin	tRNA-derived	Streptomyces cinnamoneus
BGC0001530	bicyclomycin	Other	Streptomyces cinnamoneus
BGC0001579	duramycin	Lanthipeptide	Streptomyces cinnamoneus
BGC0000100	monensin	Polyketide	Streptomyces cinnamonensis
BGC0001670	monensin	Polyketide	Streptomyces cinnamonensis
BGC0000971	cinnabaramide A	NRP	Streptomyces cinnabarigriseus
BGC0000971	cinnabaramide A	Modular type I polyketide	Streptomyces cinnabarigriseus
BGC0000375	indigoidine	NRP	Streptomyces chromofuscus
BGC0001065	herboxidiene	Polyketide	Streptomyces chromofuscus
BGC0001829	α,β-epoxyketone	NRP	Streptomyces chromofuscus
BGC0001829	α,β-epoxyketone	Polyketide	Streptomyces chromofuscus
BGC0001986	purincyclamide	Other	Streptomyces chrestomyceticus
BGC0000108	natamycin	Polyketide	Streptomyces chattanoogensis
BGC0000032	A23187	Polyketide	Streptomyces chartreusis NRRL 3882
BGC0000207	chartreusin	Polyketide	Streptomyces chartreusis
BGC0000880	tunicamycin B1	Nucleoside	Streptomyces chartreusis NRRL 3882
BGC0000847	thienamycin	Non-NRP beta-lactam	Streptomyces cattleya
BGC0000903	fluorometabolite	Other	Streptomyces cattleya
BGC0001539	cattlecin	RiPP	Streptomyces cattleya NRRL 8057 = DSM 46488
BGC0001673	moomysin	RiPP	Streptomyces cattleya NRRL 8057 = DSM 46488
BGC0001994	β-ethynylserine	Other	Streptomyces cattleya NRRL 8057 = DSM 46488
BGC0002018	azomycin	Other	Streptomyces cattleya NRRL 8057 = DSM 46488
BGC0000111	neocarzilin A, neocarzilin B	Polyketide	Streptomyces carzinostaticus
BGC0000112	neocarzinostatin	Iterative type I polyketide	Streptomyces carzinostaticus subsp. neocarzinostaticus
BGC0000112	neocarzinostatin	Enediyne type I polyketide	Streptomyces carzinostaticus subsp. neocarzinostaticus
BGC0001406	telomycin	NRP	Streptomyces canus
BGC0001457	jomthonic acid A, jomthonic acid B, jomthonic acid C	NRP	Streptomyces caniferus
BGC0001856	caniferolide A, caniferolide B, caniferolide C, caniferolide D	Modular type I polyketide	Streptomyces caniferus
BGC0001985	pyrazomycin	Other	Streptomyces candidus
BGC0001297	WS9326	NRP	Streptomyces calvus
BGC0001298	4-Z-annimycin	Polyketide	Streptomyces calvus
BGC0001387	nucleocidin	Other	Streptomyces calvus
BGC0000113	niddamycin	Polyketide	Streptomyces caelestis
BGC0001225	celesticetin	NRP	Streptomyces caelestis
BGC0000877	polyoxin A, polyoxin H	Other	Streptomyces cacaoi subsp. asoensis
BGC0000468	bottromycin A2	Bottromycin	Streptomyces bottropensis
BGC0001177	mensacaricin	Type II polyketide	Streptomyces bottropensis
BGC0001179	rishirilide B, rishirilide A	Type II polyketide	Streptomyces bottropensis
BGC0001085	teleocidin B1	NRP	Streptomyces blastmyceticus
BGC0001085	teleocidin B1	Terpene	Streptomyces blastmyceticus
BGC0001229	SBI-06990 A1, SBI-06989 A2	Lanthipeptide	Streptomyces bingchenggensis BCW-1
BGC0000035	chalcomycin A	Polyketide	Streptomyces bikiniensis
BGC0001472	berninamycin A	RiPP	Streptomyces bernensis
BGC0000025	avermectin	Polyketide	Streptomyces avermitilis
BGC0000059	filipin	Polyketide	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000117	oligomycin	Polyketide	Streptomyces avermitilis
BGC0000271	spore pigment	Polyketide	Streptomyces avermitilis
BGC0000633	carotenoid	Terpene	Streptomyces avermitilis
BGC0000908	melanin	Other	Streptomyces avermitilis
BGC0000909	melanin	Other	Streptomyces avermitilis
BGC0000918	ochronotic pigment	Other	Streptomyces avermitilis
BGC0001740	phthoxazolin	NRP	Streptomyces avermitilis
BGC0001740	phthoxazolin	Polyketide	Streptomyces avermitilis
BGC0000678	pentalenolactone	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000683	avermitilol	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0001552	citrulassin F	RiPP	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	Other	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000213	colabomycin E	Type II polyketide	Streptomyces aureus
BGC0000201	auricin	Type II polyketide	Streptomyces aureofaciens
BGC0000201	auricin	Hybrid/tailoring saccharide	Streptomyces aureofaciens
BGC0000727	indigoidine	Saccharide	Streptomyces aureofaciens
BGC0001519	aurantimycin A	NRP	Streptomyces aurantiacus JA 4570
BGC0001519	aurantimycin A	Polyketide	Streptomyces aurantiacus JA 4570
BGC0001549	citrulassin B	RiPP	Streptomyces aurantiacus JA 4570
BGC0002000	setomimycin	Polyketide	Streptomyces aurantiacus JA 4570
BGC0001101	leinamycin	NRP	Streptomyces atroolivaceus
BGC0001101	leinamycin	Modular type I polyketide	Streptomyces atroolivaceus
BGC0001101	leinamycin	Trans-AT type I polyketide	Streptomyces atroolivaceus
BGC0001620	ilamycins	Polyketide	Streptomyces atratus
BGC0001763	rufomycin	NRP	Streptomyces atratus
BGC0001763	rufomycin	Polyketide	Streptomyces atratus
BGC0001975	atratumycin	NRP	Streptomyces atratus
BGC0001934	armeniaspirols	Polyketide	Streptomyces armeniacus
BGC0002022	armeniaspirol A, armeniaspirol B, armeniaspirol C	Polyketide	Streptomyces armeniacus
BGC0000883	arginomycin	Other	Streptomyces arginensis
BGC0000246	mithramycin	Polyketide	Streptomyces argillaceus
BGC0000247	mithramycin	Type II polyketide	Streptomyces argillaceus
BGC0000247	mithramycin	Oligosaccharide	Streptomyces argillaceus
BGC0001433	argimycin PI, argimycin PII, nigrifactin, argimycin PIV, argimycin PV, argimycin PVI, argimycin PIX	Modular type I polyketide	Streptomyces argillaceus
BGC0001453	desferrioxamine	Other	Streptomyces argillaceus
BGC0001454	germicidin	Other	Streptomyces argillaceus
BGC0001455	antimycin	NRP	Streptomyces argillaceus
BGC0001455	antimycin	Polyketide	Streptomyces argillaceus
BGC0001456	isorenieratene	Terpene	Streptomyces argillaceus
BGC0001853	largimiycin 38, largimycin 39	Modular type I polyketide	Streptomyces argillaceus
BGC0001853	largimiycin 38, largimycin 39	NRP	Streptomyces argillaceus
BGC0000651	KS-505a	Terpene	Streptomyces argenteolus
BGC0000842	carbapenem MM4550	Non-NRP beta-lactam	Streptomyces argenteolus
BGC0000248	naphtocyclinone	Polyketide	Streptomyces arenae
BGC0000653	pentalenolactone	Terpene	Streptomyces arenae
BGC0000296	actinomycin D	NRP	Streptomyces anulatus
BGC0000853	ectoine	Other	Streptomyces anulatus
BGC0001080	endophenazine A, endophenazine B	Phenazine	Streptomyces anulatus
BGC0001797	telomestatin	RiPP	Streptomyces anulatus
BGC0001911	raimonol	Terpene	Streptomyces anulatus
BGC0000036	chlorothricin, deschlorothricin	Modular type I polyketide	Streptomyces antibioticus
BGC0000036	chlorothricin, deschlorothricin	Iterative type I polyketide	Streptomyces antibioticus
BGC0000036	chlorothricin, deschlorothricin	Oligosaccharide	Streptomyces antibioticus
BGC0000079	X-14547	Polyketide	Streptomyces antibioticus
BGC0000253	oviedomycin	Type II polyketide	Streptomyces antibioticus
BGC0000270	simocyclinone D8	Polyketide	Streptomyces antibioticus
BGC0000835	simocyclinone	Polyketide	Streptomyces antibioticus
BGC0000935	esmeraldin	Polyketide	Streptomyces antibioticus
BGC0000935	esmeraldin	Aminocoumarin	Streptomyces antibioticus
BGC0001072	simocyclinone D8	Saccharide	Streptomyces antibioticus
BGC0001072	simocyclinone D8	Modular type I polyketide	Streptomyces antibioticus
BGC0001072	simocyclinone D8	Type II polyketide	Streptomyces antibioticus
BGC0001072	simocyclinone D8	Aminocoumarin	Streptomyces antibioticus
BGC0001151	valclavam, (-)-2-(2-hydroxyethyl)clavam	Non-NRP beta-lactam	Streptomyces antibioticus
BGC0001723	oviedomycin	Polyketide	Streptomyces antibioticus
BGC0001735	pentostatine, vidarabine	Other	Streptomyces antibioticus
BGC0000083	lactimidomycin, 8,9-dihydrolactimidomycin, 8-hydroxy-8,9-dihydrolactidomycin, 17-hydroxy-8-desmethoxy-isomigrastatin	Modular type I polyketide	Streptomyces amphibiosporus
BGC0000083	lactimidomycin, 8,9-dihydrolactimidomycin, 8-hydroxy-8,9-dihydrolactidomycin, 17-hydroxy-8-desmethoxy-isomigrastatin	Trans-AT type I polyketide	Streptomyces amphibiosporus
BGC0000151	stambomycin A, stambomycin B, stambomycin C, stambomycin D	Modular type I polyketide	Streptomyces ambofaciens ATCC 23877
BGC0000151	stambomycin A, stambomycin B, stambomycin C, stambomycin D	Hybrid/tailoring saccharide	Streptomyces ambofaciens ATCC 23877
BGC0000327	netropsin	NRP	Streptomyces ambofaciens ATCC 23877
BGC0002033	spiramycin	Polyketide	Streptomyces ambofaciens ATCC 23877
BGC0000143	salinomycin	Polyketide	Streptomyces albus
BGC0000144	salinomycin	Modular type I polyketide	Streptomyces albus
BGC0001106	oxalomycin B	NRP	Streptomyces albus
BGC0001106	oxalomycin B	Polyketide	Streptomyces albus
BGC0001596	fluostatins M-Q	Polyketide	Streptomyces albus
BGC0002006	albusnodin	RiPP	Streptomyces albus
BGC0000409	porothramycin A	NRP	Streptomyces albus subsp. albus
BGC0001965	nybomycin	Other	Streptomyces albus subsp. chlorinus
BGC0001548	citrulassin A	RiPP	Streptomyces albulus
BGC0001570	deimino-antipain	NRP	Streptomyces albulus
BGC0001709	nystatin	Polyketide	Streptomyces albulus
BGC0000878	puromycin	Other	Streptomyces alboniger
BGC0001150	pamamycin-607	Type II polyketide	Streptomyces alboniger
BGC0001150	pamamycin-607	Type III polyketide	Streptomyces alboniger
BGC0001374	thienodolin	Other	Streptomyces albogriseolus
BGC0000546	SAL-2242	Lanthipeptide	Streptomyces albidoflavus
BGC0001792	surugamide A, surugamide D	NRP	Streptomyces albidoflavus
BGC0000211	chrysomycin	Polyketide	Streptomyces albaduncus
BGC0000052	ECO-02301	Polyketide	Streptomyces aizunensis
BGC0000881	toyocamycin	Other	Streptomyces ahygroscopicus subsp. wuzhouensis
BGC0001610	gougerotin	Other	Streptomyces ahygroscopicus subsp. wuzhouensis
BGC0001236	thiotetroamide	Polyketide	Streptomyces afghaniensis
BGC0002012	julichrome Q3-3, julichrome Q3-5	Polyketide	Streptomyces afghaniensis 772
BGC0000050	E-837	Polyketide	Streptomyces aculeolatus
BGC0001079	napyradiomycin A80915C	Terpene	Streptomyces aculeolatus
BGC0001079	napyradiomycin A80915C	Type III polyketide	Streptomyces aculeolatus
BGC0000610	nosiheptide	Thiopeptide	Streptomyces actuosus
BGC0000850	γ-butyrolactone	Other	Streptomyces acidiscabies
BGC0000448	tomaymycin	NRP	Streptomyces achromogenes
BGC0001493	achromosin	RiPP	Streptomyces achromogenes subsp. achromogenes
BGC0000141	rubradirin	Polyketide	Streptomyces achromogenes subsp. rubradiris
BGC0002015	aborycin	RiPP	Streptomyces sp. ZS0098
BGC0001435	ikarugamycin	NRP	Streptomyces sp. ZJ306
BGC0001435	ikarugamycin	Iterative type I polyketide	Streptomyces sp. ZJ306
BGC0001732	paulomycin	Other	Streptomyces sp. YN86
BGC0000175	cycloheximide	Trans-AT type I polyketide	Streptomyces sp. YIM 56141
BGC0000957	mycotrienin I	NRP	Streptomyces sp. XZQH13
BGC0000957	mycotrienin I	Polyketide	Streptomyces sp. XZQH13
BGC0000470	bottromycin D	Cyanobactin	Streptomyces sp. WMMB 272
BGC0000937	fosfazinomycin A	Other	Streptomyces sp. WM6372
BGC0000889	bagremycin A, bagremycin B	Other	Streptomyces sp. WK-5344
BGC0001619	ibomycin	Polyketide	Streptomyces sp. WAC2288
BGC0001817	vancosamine	Other	Streptomyces sp. WAC2288
BGC0000235	kiamycin	Polyketide	Streptomyces sp. W007
BGC0000131	pyrrolomycin	Polyketide	Streptomyces sp. UC 11065
BGC0000132	pyrrolomycin	Polyketide	Streptomyces sp. UC 11065
BGC0000654	phenalinolactone A	Terpene	Streptomyces sp. Tu6071
BGC0000654	phenalinolactone A	Hybrid/tailoring saccharide	Streptomyces sp. Tu6071
BGC0001213	nataxazole	Polyketide	Streptomyces sp. Tu 6176
BGC0000466	yatakemycin	NRP	Streptomyces sp. TP-A2060
BGC0000565	goadsporin	LAP	Streptomyces sp. TP-A0584
BGC0000825	staurosporine	Alkaloid	Streptomyces sp. TP-A0274
BGC0001384	saprolmycin E	Polyketide	Streptomyces sp. TK08046
BGC0000222	FD-594	Polyketide	Streptomyces sp. TA-0256
BGC0001301	anthracimycin	Polyketide	Streptomyces sp. T676
BGC0001442	actinonin	NRP	Streptomyces sp. strain ATCC 14903
BGC0000996	frontalamide B	NRP	Streptomyces sp. SPB78
BGC0000996	frontalamide B	Iterative type I polyketide	Streptomyces sp. SPB78
BGC0000212	cinerubin B	Type II polyketide	Streptomyces sp. SPB074
BGC0000376	JBIR-34, JBIR-35	NRP	Streptomyces sp. Sp080513GE-23
BGC0001764	s56-p1	NRP	Streptomyces sp. SoC090715LN-17
BGC0001922	isoindolinomycin	Polyketide	Streptomyces sp. SoC090715LN-16
BGC0000434	SW-163C, UK-63598, SW-163E, SW-163F, SW-163G	NRP	Streptomyces sp. SNA15896
BGC0000135	reveromycin A	Polyketide	Streptomyces sp. SN-593
BGC0001076	liposidomycin B, liposidomycin A, liposidomycin C, liposidomycin Z, liposidomycin H, liposidomycin G, liposidomycin L, liposidomycin M, liposidomycin K, liposidomycin N	Nucleoside	Streptomyces sp. SN-1061M
BGC0000269	SF2575	Type II polyketide	Streptomyces sp. SF2575
BGC0000269	SF2575	Hybrid/tailoring saccharide	Streptomyces sp. SF2575
BGC0001770	sceliphrolactam	Polyketide	Streptomyces sp. SD85
BGC0001908	sceliphrolactam	Polyketide	Streptomyces sp. SD85
BGC0001568	cytorhodin	Polyketide	Streptomyces sp. SCSIO 1666
BGC0001169	piericidin A1	Modular type I polyketide	Streptomyces sp. SCSIO 03032
BGC0001349	heronamide A, heronamide B, heronamide C, heronamide D, heronamide E, heronamide F	NRP	Streptomyces sp. SCSIO 03032
BGC0001349	heronamide A, heronamide B, heronamide C, heronamide D, heronamide E, heronamide F	Polyketide	Streptomyces sp. SCSIO 03032
BGC0001782	spiroindimicin A, spiroindimicin B, spiroindimicin C, spiroindimicin D, indimicin A, indimicin B, indimicin C, indimicin D, indimicin E, lynamicin A, lynamicin D, lynamicin F, lynamicin G	Other	Streptomyces sp. SCSIO 03032
BGC0000666	xiamycin A	Terpene	Streptomyces sp. SCSIO 02999
BGC0001004	lobophorin B	Modular type I polyketide	Streptomyces sp. SCSIO 01127
BGC0000268	Sch-47554, Sch-47555	Polyketide	Streptomyces sp. SCC 2136
BGC0000288	A-503083 A, A-503083 B, A-503083 E, A-503083 F	NRP	Streptomyces sp. SANK 62799
BGC0000190	A-74528	Polyketide	Streptomyces sp. SANK 61196
BGC0000872	A-90289 A, A-90289 B	Other	Streptomyces sp. SANK 60405
BGC0001818	vazabitide A	NRP	Streptomyces sp. SANK 60404
BGC0001912	(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	NRP	Streptomyces sp. SANK 60404
BGC0002032	pentamycin	Polyketide	Streptomyces sp. S816
BGC0000958	antimycin	Cyclic depsipeptide	Streptomyces sp. S4
BGC0000958	antimycin	Modular type I polyketide	Streptomyces sp. S4
BGC0001483	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	Other	Streptomyces sp. RM-5-8
BGC0001529	bezastatin derivates	Alkaloid	Streptomyces sp. RI18
BGC0001914	benzastatin J, 7-hydroxyl benzastatin B, 7-hydroxyl O-demethylbenzastatin A, JBIR-67, 7-hydroxyl benzastatin F, 7-hydroxyl O-demethylbenzastatin D, O-demethylvirantmycin, 7-hydroxyl benzastatin D, virantmycin, benzastatin K, methylbenzastatin K	Other	Streptomyces sp. RI18
BGC0001386	JBIR-76, JBIR-77	Polyketide	Streptomyces sp. RI-77
BGC0000261	R1128	Polyketide	Streptomyces sp. R1128
BGC0002016	lugdunomycin	Polyketide	Streptomyces sp. QL37
BGC0000262	prejadomycin, rabelomycin, gaudimycin C, gaudimycin D, UWM6, gaudimycin A	Type II polyketide	Streptomyces sp. PGA64
BGC0000262	prejadomycin, rabelomycin, gaudimycin C, gaudimycin D, UWM6, gaudimycin A	Hybrid/tailoring saccharide	Streptomyces sp. PGA64
BGC0000582	cypemycin	Linaridin	Streptomyces sp. OH-4156
BGC0001444	caboxamycin	Other	Streptomyces sp. NTK 937
BGC0001538	caboxamycin	NRP	Streptomyces sp. NTK 937
BGC0001538	caboxamycin	Polyketide	Streptomyces sp. NTK 937
BGC0001146	cyclothiazomycin C	Thiopeptide	Streptomyces sp. NRRL WC-3908
BGC0001813	tyrobetaine	NRP	Streptomyces sp. NRRL WC-3703
BGC0001852	komodoquinone B	Type II polyketide	Streptomyces sp. NRRL S-378
BGC0001852	komodoquinone B	Hybrid/tailoring saccharide	Streptomyces sp. NRRL S-378
BGC0001840	detoxin S1	NRP	Streptomyces sp. NRRL S-325
BGC0001840	detoxin S1	Polyketide	Streptomyces sp. NRRL S-325
BGC0001506	anantin B1, anantin B2	RiPP	Streptomyces sp. NRRL S-146
BGC0001645	lagmysin	RiPP	Streptomyces sp. NRRL S-118
BGC0001634	keywimysin	RiPP	Streptomyces sp. NRRL F-5702
BGC0001739	phosphonoacetic Acid	Other	Streptomyces sp. NRRL F-525
BGC0001368	JBIR-126	NRP	Streptomyces sp. NRRL F-4474
BGC0000366	gobichelin A, gobichelin B	NRP	Streptomyces sp. NRRL F-4415
BGC0001885	oxazolepoxidomycin A	Polyketide	Streptomyces sp. NRRL F-4335
BGC0001607	gilvusmycin	Other	Streptomyces sp. NRRL B-1347
BGC0001878	detoxin N2, detoxin N3	NRP	Streptomyces sp. NRRL B-1347
BGC0001878	detoxin N2, detoxin N3	Polyketide	Streptomyces sp. NRRL B-1347
BGC0001011	meridamycin	NRP	Streptomyces sp. NRRL 30748
BGC0001011	meridamycin	Polyketide	Streptomyces sp. NRRL 30748
BGC0001020	muraymycin C1	NRP	Streptomyces sp. NRRL 30471
BGC0001020	muraymycin C1	Polyketide	Streptomyces sp. NRRL 30471
BGC0001292	A33853	Other	Streptomyces sp. NRRL 12068
